n_robots,ssp_ms,iterq,cpu_limit,participant,run,role,metric,run_median_s,participant_group
8,20000.0,1.0,,Robot6,2,prover,evidence_call,0.013380603,Robot
8,20000.0,1.0,,Robot6,2,prover,total_lifecycle,4.881007737000001,Robot
8,20000.0,1.0,,Robot6,2,verifier,reaction_time,0.0030244395,Robot
8,20000.0,1.0,,Robot6,2,verifier,result_call,0.014060222,Robot
8,20000.0,1.0,,Robot6,2,verifier,signatures_fetch,0.0018601185000000002,Robot
8,20000.0,1.0,,Robot6,2,verifier,total_lifecycle,0.021656705499999998,Robot
8,20000.0,1.0,,Robot6,2,verifier,verify_compute,2.0045e-06,Robot
8,20000.0,1.0,,Robot6,3,prover,e2e_blockchain,5.171543176,Robot
8,20000.0,1.0,,Robot6,3,prover,evidence_call,0.0131052875,Robot
8,20000.0,1.0,,Robot6,3,prover,total_lifecycle,5.1888699245000005,Robot
8,20000.0,1.0,,Robot6,3,verifier,reaction_time,0.003105834,Robot
8,20000.0,1.0,,Robot6,3,verifier,result_call,0.01089118,Robot
8,20000.0,1.0,,Robot6,3,verifier,signatures_fetch,0.002016387,Robot
8,20000.0,1.0,,Robot6,3,verifier,total_lifecycle,0.013853808,Robot
8,20000.0,1.0,,Robot6,3,verifier,verify_compute,2.136e-06,Robot
8,20000.0,1.0,,Robot7,1,prover,e2e_blockchain,5.2799080075,Robot
8,20000.0,1.0,,Robot7,1,prover,evidence_call,0.019448673,Robot
8,20000.0,1.0,,Robot7,1,prover,total_lifecycle,5.294878778499999,Robot
8,20000.0,1.0,,Robot7,1,verifier,reaction_time,0.005000131,Robot
8,20000.0,1.0,,Robot7,1,verifier,result_call,0.013806977,Robot
8,20000.0,1.0,,Robot7,1,verifier,signatures_fetch,0.002445054,Robot
8,20000.0,1.0,,Robot7,1,verifier,total_lifecycle,0.016437583,Robot
8,20000.0,1.0,,Robot7,1,verifier,verify_compute,1.779e-06,Robot
8,20000.0,1.0,,Robot7,2,prover,e2e_blockchain,4.857049356,Robot
8,20000.0,1.0,,Robot7,2,prover,evidence_call,0.0154585855,Robot
8,20000.0,1.0,,Robot7,2,prover,total_lifecycle,4.874613549499999,Robot
8,20000.0,1.0,,Robot7,2,verifier,reaction_time,0.0056403135,Robot
8,20000.0,1.0,,Robot7,2,verifier,result_call,0.0144214455,Robot
8,20000.0,1.0,,Robot7,2,verifier,signatures_fetch,0.002070814,Robot
8,20000.0,1.0,,Robot7,2,verifier,total_lifecycle,0.017356986999999997,Robot
8,20000.0,1.0,,Robot7,2,verifier,verify_compute,1.843e-06,Robot
8,20000.0,1.0,,Robot7,3,prover,e2e_blockchain,5.17182475,Robot
8,20000.0,1.0,,Robot7,3,prover,evidence_call,0.015600801499999999,Robot
8,20000.0,1.0,,Robot7,3,prover,total_lifecycle,5.189927986000001,Robot
8,20000.0,1.0,,Robot7,3,verifier,reaction_time,0.006645891,Robot
8,20000.0,1.0,,Robot7,3,verifier,result_call,0.0129913,Robot
8,20000.0,1.0,,Robot7,3,verifier,signatures_fetch,0.0030592749999999998,Robot
8,20000.0,1.0,,Robot7,3,verifier,total_lifecycle,0.015980808,Robot
8,20000.0,1.0,,Robot7,3,verifier,verify_compute,2.038e-06,Robot
8,20000.0,1.0,,Robot8,1,prover,e2e_blockchain,5.280173717,Robot
8,20000.0,1.0,,Robot8,1,prover,evidence_call,0.013938473,Robot
8,20000.0,1.0,,Robot8,1,prover,total_lifecycle,5.2940045415,Robot
8,20000.0,1.0,,Robot8,1,verifier,reaction_time,0.003677792,Robot
8,20000.0,1.0,,Robot8,1,verifier,result_call,0.0142701,Robot
8,20000.0,1.0,,Robot8,1,verifier,signatures_fetch,0.0020045065000000003,Robot
8,20000.0,1.0,,Robot8,1,verifier,total_lifecycle,0.01765315,Robot
8,20000.0,1.0,,Robot8,1,verifier,verify_compute,2.0495000000000005e-06,Robot
8,20000.0,1.0,,Robot8,2,prover,e2e_blockchain,4.8634070315,Robot
8,20000.0,1.0,,Robot8,2,prover,evidence_call,0.011727102,Robot
8,20000.0,1.0,,Robot8,2,prover,total_lifecycle,4.877407945000001,Robot
8,20000.0,1.0,,Robot8,2,verifier,reaction_time,0.003607604,Robot
8,20000.0,1.0,,Robot8,2,verifier,result_call,0.012970141,Robot
8,20000.0,1.0,,Robot8,2,verifier,signatures_fetch,0.004238749,Robot
8,20000.0,1.0,,Robot8,2,verifier,total_lifecycle,0.015304011,Robot
8,20000.0,1.0,,Robot8,2,verifier,verify_compute,1.674e-06,Robot
8,20000.0,1.0,,Robot8,3,prover,e2e_blockchain,5.1729993755,Robot
8,20000.0,1.0,,Robot8,3,prover,evidence_call,0.0139541075,Robot
8,20000.0,1.0,,Robot8,3,prover,total_lifecycle,5.190120702,Robot
8,20000.0,1.0,,Robot8,3,verifier,reaction_time,0.003675898,Robot
8,20000.0,1.0,,Robot8,3,verifier,result_call,0.011759413,Robot
8,20000.0,1.0,,Robot8,3,verifier,signatures_fetch,0.002265642,Robot
8,20000.0,1.0,,Robot8,3,verifier,total_lifecycle,0.014444325,Robot
8,20000.0,1.0,,Robot8,3,verifier,verify_compute,1.742e-06,Robot
8,20000.0,1.0,,SECaaS,1,oracle,db_lookup,0.000926285,SECaaS
8,20000.0,1.0,,SECaaS,1,oracle,prover_addr_fetch,0.0137066485,SECaaS
8,20000.0,1.0,,SECaaS,1,oracle,reaction_time,0.31191903350000005,SECaaS
8,20000.0,1.0,,SECaaS,1,oracle,ref_signature_call,0.038463453,SECaaS
8,20000.0,1.0,,SECaaS,1,oracle,total_lifecycle,0.076067649,SECaaS
8,20000.0,1.0,,SECaaS,2,oracle,db_lookup,0.000916807,SECaaS
8,20000.0,1.0,,SECaaS,2,oracle,prover_addr_fetch,0.012707538499999999,SECaaS
8,20000.0,1.0,,SECaaS,2,oracle,reaction_time,0.301650592,SECaaS
8,20000.0,1.0,,SECaaS,2,oracle,ref_signature_call,0.0400828535,SECaaS
8,20000.0,1.0,,SECaaS,2,oracle,total_lifecycle,0.077546122,SECaaS
8,20000.0,1.0,,SECaaS,3,oracle,db_lookup,0.0009335834999999999,SECaaS
8,20000.0,1.0,,SECaaS,3,oracle,prover_addr_fetch,0.010418116,SECaaS
8,20000.0,1.0,,SECaaS,3,oracle,reaction_time,0.261484606,SECaaS
8,20000.0,1.0,,SECaaS,3,oracle,ref_signature_call,0.03111552,SECaaS
8,20000.0,1.0,,SECaaS,3,oracle,total_lifecycle,0.061292325499999994,SECaaS
16,20000.0,1.0,,Robot1,1,prover,e2e_blockchain,5.216929515,Robot
16,20000.0,1.0,,Robot1,1,prover,evidence_call,0.011457202000000001,Robot
16,20000.0,1.0,,Robot1,1,prover,total_lifecycle,5.232733382499999,Robot
16,20000.0,1.0,,Robot1,1,verifier,reaction_time,0.0075339915,Robot
16,20000.0,1.0,,Robot1,1,verifier,result_call,0.017656567999999997,Robot
16,20000.0,1.0,,Robot1,1,verifier,signatures_fetch,0.0056401689999999996,Robot
16,20000.0,1.0,,Robot1,1,verifier,total_lifecycle,0.02450551,Robot
16,20000.0,1.0,,Robot1,1,verifier,verify_compute,1.322e-06,Robot
16,20000.0,1.0,,Robot1,2,prover,e2e_blockchain,4.798854691000001,Robot
16,20000.0,1.0,,Robot1,2,prover,evidence_call,0.0133201155,Robot
16,20000.0,1.0,,Robot1,2,prover,total_lifecycle,4.817073195500001,Robot
16,20000.0,1.0,,Robot1,2,verifier,reaction_time,0.006113025,Robot
16,20000.0,1.0,,Robot1,2,verifier,result_call,0.014790387499999998,Robot
16,20000.0,1.0,,Robot1,2,verifier,signatures_fetch,0.0031332764999999997,Robot
16,20000.0,1.0,,Robot1,2,verifier,total_lifecycle,0.0176636145,Robot
16,20000.0,1.0,,Robot1,2,verifier,verify_compute,2.1715e-06,Robot
