participant,role,step,duration_s,run,attestation_id
Robot4,Verifier,total_verifier,0.183,2,attestation7677074513490
Robot4,Verifier,total_verifier,0.187,2,attestation7677074701393
Robot4,Verifier,total_verifier,0.308,2,attestation7677074701729
Robot4,Verifier,total_verifier,0.367,2,attestation7677074899598
Robot4,Verifier,total_verifier,0.273,3,attestation7677075791470
Robot4,Verifier,total_verifier,0.11800000000000001,3,attestation7677075798273
Robot4,Verifier,total_verifier,0.192,3,attestation7677075988661
Robot4,Verifier,total_verifier,0.275,3,attestation7677076162506
Robot4,Verifier,total_verifier,0.217,3,attestation7677076351912
Robot4,Verifier,total_verifier,0.218,3,attestation7677076356690
Robot4,Verifier,total_verifier,0.201,3,attestation7677076535447
Robot4,Verifier,total_verifier,0.188,3,attestation7677076914404
Robot4,Verifier,total_verifier,0.187,4,attestation7677078009521
Robot4,Verifier,total_verifier,0.396,4,attestation7677077995216
Robot4,Verifier,total_verifier,0.305,4,attestation7677078188843
Robot4,Verifier,total_verifier,0.374,4,attestation7677078559858
Robot4,Verifier,total_verifier,0.191,4,attestation7677078739863
Robot4,Verifier,total_verifier,0.117,4,attestation7677078924879
Robot4,Verifier,total_verifier,0.188,4,attestation7677079119450
Robot4,Verifier,total_verifier,0.363,4,attestation7677079102554
Robot4,Verifier,total_verifier,0.132,4,attestation7677079289192
Robot4,Verifier,total_verifier,0.421,5,attestation7677080199292
Robot4,Verifier,total_verifier,0.299,5,attestation7677080373717
Robot4,Verifier,total_verifier,0.16,5,attestation7677080749190
Robot4,Verifier,total_verifier,0.20600000000000002,5,attestation7677080735929
Robot4,Verifier,total_verifier,0.181,5,attestation7677080922825
Robot4,Verifier,total_verifier,0.2,5,attestation7677081119465
Robot4,Verifier,total_verifier,0.18,5,attestation7677081295393
Robot4,Verifier,total_verifier,0.189,5,attestation7677081297833
Robot4,Verifier,total_verifier,0.257,5,attestation7677081488161
