n_robots,ssp_ms,iterq,cpu_limit,participant,run,role,metric,run_median_s,run_mean_s,participant_group
8,20000.0,1.0,,Robot2,1,prover,e2e_blockchain,4.827074029,4.535440518166666,Robot
8,20000.0,1.0,,Robot2,1,prover,evidence_call,0.010292025,0.013874139333333334,Robot
8,20000.0,1.0,,Robot2,1,prover,total_lifecycle,4.839030725500001,4.5517787080000005,Robot
8,20000.0,1.0,,Robot2,1,verifier,reaction_time,0.044739231,0.040220509142857144,Robot
8,20000.0,1.0,,Robot2,1,verifier,result_call,0.010508594999999999,0.013026591714285714,Robot
8,20000.0,1.0,,Robot2,1,verifier,signatures_fetch,0.002735416,0.0035550647142857145,Robot
8,20000.0,1.0,,Robot2,1,verifier,total_lifecycle,0.016713318,0.01660308657142857,Robot
8,20000.0,1.0,,Robot2,1,verifier,verify_compute,1.766e-06,1.8661428571428571e-06,Robot
8,20000.0,1.0,,Robot2,2,prover,e2e_blockchain,5.1868959855000005,5.184791547500001,Robot
8,20000.0,1.0,,Robot2,2,prover,evidence_call,0.018020062,0.018900198166666667,Robot
8,20000.0,1.0,,Robot2,2,prover,total_lifecycle,5.2052554209999995,5.201246169166667,Robot
8,20000.0,1.0,,Robot2,3,prover,e2e_blockchain,5.2326932275,5.155960343333334,Robot
8,20000.0,1.0,,Robot2,3,prover,evidence_call,0.019699407000000002,0.021636988333333333,Robot
8,20000.0,1.0,,Robot2,3,prover,total_lifecycle,5.250304807500001,5.1732799720000004,Robot
8,20000.0,1.0,,Robot2,4,prover,e2e_blockchain,4.5529798995,4.4778376035,Robot
8,20000.0,1.0,,Robot2,4,prover,evidence_call,0.0154931785,0.0180927855,Robot
8,20000.0,1.0,,Robot2,4,prover,total_lifecycle,4.571830350000001,4.495637162833333,Robot
8,20000.0,1.0,,Robot2,4,verifier,reaction_time,0.038430864,0.03371664,Robot
8,20000.0,1.0,,Robot2,4,verifier,result_call,0.009599907999999999,0.009052503571428573,Robot
8,20000.0,1.0,,Robot2,4,verifier,signatures_fetch,0.0020209950000000003,0.002748675,Robot
8,20000.0,1.0,,Robot2,4,verifier,total_lifecycle,0.011997279000000001,0.01182159642857143,Robot
8,20000.0,1.0,,Robot2,4,verifier,verify_compute,1.776e-06,1.7335714285714285e-06,Robot
8,20000.0,1.0,,Robot2,5,prover,e2e_blockchain,5.1331608875,5.132005481,Robot
8,20000.0,1.0,,Robot2,5,prover,evidence_call,0.014598786,0.014008671666666667,Robot
8,20000.0,1.0,,Robot2,5,prover,total_lifecycle,5.148980593499999,5.147729573,Robot
8,20000.0,1.0,,Robot3,1,prover,e2e_blockchain,4.8735363365,4.877515077,Robot
8,20000.0,1.0,,Robot3,1,prover,evidence_call,0.011133651500000001,0.010998949333333332,Robot
8,20000.0,1.0,,Robot3,1,prover,total_lifecycle,4.8871305330000006,4.893944655333334,Robot
8,20000.0,1.0,,Robot3,2,prover,e2e_blockchain,4.654254288000001,4.512678698666666,Robot
8,20000.0,1.0,,Robot3,2,prover,evidence_call,0.011384384,0.016892387,Robot
8,20000.0,1.0,,Robot3,2,prover,total_lifecycle,4.6728328144999995,4.529293293833333,Robot
8,20000.0,1.0,,Robot3,2,verifier,reaction_time,0.040579952,0.03668283521428572,Robot
8,20000.0,1.0,,Robot3,2,verifier,result_call,0.007330076,0.009447267285714284,Robot
8,20000.0,1.0,,Robot3,2,verifier,signatures_fetch,0.0021566385,0.002562358857142857,Robot
8,20000.0,1.0,,Robot3,2,verifier,total_lifecycle,0.009805870500000001,0.012036863071428571,Robot
8,20000.0,1.0,,Robot3,2,verifier,verify_compute,1.681e-06,1.6407857142857143e-06,Robot
8,20000.0,1.0,,Robot3,3,prover,e2e_blockchain,4.9648763515,4.4836119388333335,Robot
8,20000.0,1.0,,Robot3,3,prover,evidence_call,0.0090309305,0.009336946666666667,Robot
