n_robots,participant,run,role,metric,duration_s
16,SECaaS,1,verifier,signatures_fetch,0.010647125
16,SECaaS,1,verifier,verify_compute,1.2841e-05
16,SECaaS,1,verifier,verify_compute,1.1381e-05
16,SECaaS,1,verifier,verify_compute,1.272e-05
16,SECaaS,1,verifier,verify_compute,1.1903000000000001e-05
16,SECaaS,1,verifier,verify_compute,1.0561e-05
16,SECaaS,1,verifier,verify_compute,2.8008e-05
16,SECaaS,1,verifier,verify_compute,9.217e-06
16,SECaaS,1,verifier,verify_compute,1.6395e-05
16,SECaaS,1,verifier,verify_compute,1.3034000000000001e-05
16,SECaaS,1,verifier,verify_compute,7.735e-06
